geoid,med_rent
47037010101,570
47037010102,559
47037010200,719
47037010301,625
47037010302,767
47037010401,739
47037010402,530
47037010501,440
47037010502,663
47037010600,594
47037010701,549
47037010702,488
47037010801,619
47037010802,630
47037010901,584
47037010903,569
47037010904,493
47037011001,512
47037011002,525
47037011100,561
47037011200,542
47037011300,526
47037011400,513
47037011500,607
47037011600,561
47037011700,529
47037011800,594
47037011900,347
47037012000,711
47037012100,656
47037012200,696
47037012300,490
47037012400,224
47037012500,454
47037012600,476
47037012701,460
47037012702,489
47037012801,430
47037012802,481
47037013000,
47037013100,510
47037013200,597
47037013300,514
47037013400,730
47037013500,617
47037013600,435
47037013700,488
47037013800,406
47037013900,431
47037014000,283
47037014100,832
47037014200,390
47037014300,439
47037014400,356
47037014500,676
47037014600,757
47037014700,756
47037014800,161
47037014900,669
47037015000,604
47037015100,698
47037015200,793
47037015300,729
47037015401,639
47037015402,601
47037015404,696
47037015405,635
47037015501,695
47037015502,667
47037015608,554
47037015609,738
47037015610,715
47037015611,753
47037015612,712
47037015613,567
47037015614,673
47037015615,592
47037015616,629
47037015617,591
47037015618,792
47037015619,842
47037015620,727
47037015621,744
47037015700,660
47037015801,593
47037015802,546
47037015900,327
47037016000,376
47037016100,420
47037016200,503
47037016300,550
47037016400,723
47037016500,831
47037016600,673
47037016700,1147
47037016800,872
47037016900,732
47037017000,679
47037017100,525
47037017200,618
47037017300,562
47037017401,571
47037017402,651
47037017500,500
47037017600,
47037017700,899
47037017800,846
47037017901,846
47037017902,881
47037018000,1106
47037018101,639
47037018102,687
47037018201,732
47037018202,837
47037018203,
47037018300,628
47037018401,812
47037018404,764
47037018405,807
47037018406,800
47037018407,
47037018408,645
47037018500,906
47037018601,
47037018602,
47037018700,1051
47037018801,734
47037018802,895
47037018901,547
47037018902,615
47037018903,674
47037019001,601
47037019003,546
47037019004,643
47037019105,586
47037019106,759
47037019107,717
47037019108,571
47037019109,782
47037019110,678
47037019111,670
47037019112,623
47037019113,628
47037019114,963
