GEO.id2,HD01_VD01,HD01_VD02,
Id2,Estimate; Total:,Estimate; Total: - For rent,percent
47037010103,150,0,0
47037010104,65,0,0
47037010105,109,0,0
47037010106,74,0,0
47037010201,100,0,0
47037010202,20,0,0
47037010301,105,0,0
47037010302,107,71,66.35514019
47037010303,182,99,54.3956044
47037010401,191,83,43.45549738
47037010402,242,242,100
47037010501,202,0,0
47037010502,209,17,8.133971292
47037010601,291,112,38.48797251
47037010602,155,75,48.38709677
47037010701,271,95,35.05535055
47037010702,360,251,69.72222222
47037010801,120,120,100
47037010802,104,14,13.46153846
47037010901,169,101,59.76331361
47037010903,230,130,56.52173913
47037010904,88,65,73.86363636
47037011001,315,222,70.47619048
47037011002,101,55,54.45544554
47037011100,217,47,21.65898618
47037011200,174,55,31.6091954
47037011300,341,161,47.21407625
47037011400,301,93,30.89700997
47037011500,165,32,19.39393939
47037011600,69,55,79.71014493
47037011700,443,175,39.503386
47037011800,194,77,39.69072165
47037011900,220,84,38.18181818
47037012100,50,0,0
47037012200,21,0,0
47037012600,175,0,0
47037012701,182,85,46.7032967
47037012702,193,56,29.01554404
47037012801,254,0,0
47037012802,171,19,11.11111111
47037013000,0,0,#DIV/0!
47037013100,79,52,65.82278481
47037013201,114,92,80.70175439
47037013202,174,44,25.28735632
47037013300,206,128,62.13592233
47037013400,304,78,25.65789474
47037013500,149,117,78.52348993
47037013601,161,48,29.8136646
47037013602,43,0,0
47037013700,382,113,29.58115183
47037013800,120,44,36.66666667
47037013900,161,67,41.61490683
47037014200,165,81,49.09090909
47037014300,191,93,48.69109948
47037014400,126,40,31.74603175
47037014800,176,54,30.68181818
47037015100,98,0,0
47037015200,55,0,0
47037015300,135,0,0
47037015401,110,0,0
47037015402,113,54,47.78761062
47037015404,205,150,73.17073171
47037015405,157,27,17.19745223
47037015501,112,0,0
47037015502,74,74,100
47037015609,207,152,73.42995169
47037015610,220,167,75.90909091
47037015612,173,129,74.56647399
47037015613,194,104,53.60824742
47037015614,108,0,0
47037015615,86,13,15.11627907
47037015617,32,0,0
47037015618,211,42,19.90521327
47037015619,105,0,0
47037015620,104,14,13.46153846
47037015622,121,0,0
47037015623,161,121,75.1552795
47037015624,208,81,38.94230769
47037015625,171,39,22.80701754
47037015626,198,120,60.60606061
47037015627,43,0,0
47037015628,125,83,66.4
47037015629,456,372,81.57894737
47037015630,65,23,35.38461538
47037015631,190,41,21.57894737
47037015700,30,0,0
47037015802,262,262,100
47037015803,401,353,88.02992519
47037015804,197,67,34.01015228
47037015900,219,184,84.01826484
47037016000,119,67,56.30252101
47037016100,123,74,60.16260163
47037016200,178,69,38.76404494
47037016300,68,45,66.17647059
47037016400,159,94,59.11949686
47037016500,63,22,34.92063492
47037016600,422,132,31.27962085
47037016700,227,48,21.14537445
47037016800,321,37,11.52647975
47037016900,237,0,0
47037017000,95,0,0
47037017100,78,0,0
47037017200,76,6,7.894736842
47037017300,129,50,38.75968992
47037017401,159,94,59.11949686
47037017402,365,272,74.52054795
47037017500,211,60,28.43601896
47037017701,47,0,0
47037017702,101,37,36.63366337
47037017800,421,120,28.50356295
47037017901,341,127,37.24340176
47037017902,167,42,25.1497006
47037018000,375,83,22.13333333
47037018101,308,274,88.96103896
47037018102,171,61,35.67251462
47037018201,66,0,0
47037018202,310,97,31.29032258
47037018203,31,0,0
47037018301,287,168,58.53658537
47037018302,24,0,0
47037018401,353,130,36.82719547
47037018404,31,31,100
47037018405,49,0,0
47037018407,69,0,0
47037018408,40,0,0
47037018409,115,0,0
47037018410,164,42,25.6097561
47037018500,111,0,0
47037018601,15,0,0
47037018602,116,0,0
47037018700,34,0,0
47037018801,244,81,33.19672131
47037018803,215,37,17.20930233
47037018804,0,0,#DIV/0!
47037018901,210,85,40.47619048
47037018902,107,0,0
47037018904,118,98,83.05084746
47037018905,281,189,67.25978648
47037019003,263,157,59.69581749
47037019004,240,114,47.5
47037019005,333,215,64.56456456
47037019006,91,42,46.15384615
47037019105,340,291,85.58823529
47037019106,173,105,60.69364162
47037019108,89,53,59.5505618
47037019109,112,31,27.67857143
47037019110,153,59,38.5620915
47037019111,136,79,58.08823529
47037019112,76,0,0
47037019114,319,0,0
47037019115,15,0,0
47037019116,322,175,54.34782609
47037019117,21,21,100
47037019118,289,206,71.28027682
47037019200,199,158,79.39698492
47037019300,116,35,30.17241379
47037019400,329,54,16.41337386
47037019500,769,234,30.42912874
47037019600,222,105,47.2972973
47037980100,0,0,#DIV/0!
47037980200,0,0,#DIV/0!
