geoid,total_rental_units,for_rent,rent_pc
47037010103,0,0,0
47037010104,47,0,0
47037010105,158,22,13.92405063
47037010106,33,0,0
47037010201,189,0,0
47037010202,92,40,43.47826087
47037010301,213,105,49.29577465
47037010302,248,97,39.11290323
47037010303,190,0,0
47037010401,358,97,27.09497207
47037010402,559,175,31.3059034
47037010501,95,0,0
47037010502,198,30,15.15151515
47037010601,154,17,11.03896104
47037010602,79,0,0
47037010701,395,105,26.58227848
47037010702,172,68,39.53488372
47037010801,213,32,15.02347418
47037010802,98,36,36.73469388
47037010901,203,56,27.5862069
47037010903,257,34,13.22957198
47037010904,109,41,37.6146789
47037011001,334,151,45.20958084
47037011002,82,17,20.73170732
47037011100,54,23,42.59259259
47037011200,221,102,46.15384615
47037011300,341,145,42.52199413
47037011400,303,85,28.05280528
47037011500,150,0,0
47037011600,203,119,58.62068966
47037011700,242,117,48.34710744
47037011800,161,40,24.8447205
47037011900,178,57,32.02247191
47037012100,76,0,0
47037012200,187,20,10.69518717
47037012600,63,15,23.80952381
47037012701,176,71,40.34090909
47037012702,98,0,0
47037012801,239,87,36.40167364
47037012802,177,0,0
47037013000,0,0,
47037013100,123,6,4.87804878
47037013201,126,0,0
47037013202,89,0,0
47037013300,254,83,32.67716535
47037013400,71,30,42.25352113
47037013500,175,13,7.428571429
47037013601,242,97,40.08264463
47037013602,57,47,82.45614035
47037013700,86,0,0
47037013800,101,0,0
47037013900,114,20,17.54385965
47037014200,152,72,47.36842105
47037014300,236,45,19.06779661
47037014400,58,0,0
47037014800,146,111,76.02739726
47037015100,82,0,0
47037015200,106,39,36.79245283
47037015300,192,15,7.8125
47037015401,196,50,25.51020408
47037015402,63,24,38.0952381
47037015404,321,220,68.53582555
47037015405,110,7,6.363636364
47037015501,153,26,16.99346405
47037015502,195,88,45.12820513
47037015609,209,80,38.27751196
47037015610,384,109,28.38541667
47037015612,295,105,35.59322034
47037015613,61,26,42.62295082
47037015614,124,0,0
47037015615,71,0,0
47037015617,116,0,0
47037015618,289,33,11.41868512
47037015619,69,0,0
47037015620,139,0,0
47037015622,78,51,65.38461538
47037015623,151,72,47.68211921
47037015624,173,0,0
47037015625,129,0,0
47037015626,122,62,50.81967213
47037015627,56,0,0
47037015628,87,54,62.06896552
47037015629,161,121,75.1552795
47037015630,104,0,0
47037015631,185,0,0
47037015700,29,13,44.82758621
47037015802,305,213,69.83606557
47037015803,260,166,63.84615385
47037015804,9,0,0
47037015900,99,73,73.73737374
47037016000,65,28,43.07692308
47037016100,82,14,17.07317073
47037016200,270,130,48.14814815
47037016300,199,49,24.62311558
47037016400,191,18,9.42408377
47037016500,139,63,45.32374101
47037016600,251,83,33.06772908
47037016700,403,37,9.181141439
47037016800,192,40,20.83333333
47037016900,105,0,0
47037017000,107,0,0
47037017100,108,4,3.703703704
47037017200,84,0,0
47037017300,118,55,46.61016949
47037017401,61,40,65.57377049
47037017402,305,161,52.78688525
47037017500,87,42,48.27586207
47037017701,42,0,0
47037017702,0,0,
47037017800,228,96,42.10526316
47037017901,284,28,9.85915493
47037017902,96,96,100
47037018000,330,39,11.81818182
47037018101,208,108,51.92307692
47037018102,86,0,0
47037018201,112,71,63.39285714
47037018202,435,182,41.83908046
47037018203,29,10,34.48275862
47037018301,281,81,28.82562278
47037018302,94,0,0
47037018401,380,130,34.21052632
47037018404,227,107,47.13656388
47037018405,103,0,0
47037018407,50,0,0
47037018408,48,0,0
47037018409,200,0,0
47037018410,40,0,0
47037018500,181,14,7.73480663
47037018601,83,16,19.27710843
47037018602,37,0,0
47037018700,59,0,0
47037018801,103,0,0
47037018803,40,21,52.5
47037018804,16,0,0
47037018901,186,56,30.10752688
47037018902,68,21,30.88235294
47037018904,156,78,50
47037018905,180,78,43.33333333
47037019003,197,69,35.02538071
47037019004,174,33,18.96551724
47037019005,154,51,33.11688312
47037019006,141,86,60.9929078
47037019105,185,33,17.83783784
47037019106,140,24,17.14285714
47037019108,167,34,20.35928144
47037019109,139,50,35.97122302
47037019110,113,29,25.66371681
47037019111,175,95,54.28571429
47037019112,75,16,21.33333333
47037019114,209,91,43.54066986
47037019115,12,0,0
47037019116,145,49,33.79310345
47037019117,52,8,15.38461538
47037019118,337,248,73.59050445
47037019200,154,27,17.53246753
47037019300,177,135,76.27118644
47037019400,436,109,25
47037019500,1332,275,20.64564565
47037019600,275,79,28.72727273
47037980100,0,0,
47037980200,0,0,
