GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",45,69,0,12,0,12,0,12,0,12,0,12,0,12,45,69
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",76,59,0,12,0,12,32,37,0,12,0,12,0,12,44,49
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",230,95,22,37,0,12,0,12,0,12,23,38,0,12,185,89
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",20,27,0,12,0,12,0,12,0,12,0,12,0,12,20,27
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",180,116,0,12,0,12,40,59,0,12,0,12,0,12,140,100
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",64,71,44,68,0,12,0,12,0,12,0,12,0,12,20,23
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",190,95,74,68,0,12,23,37,33,44,0,12,0,12,60,58
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",263,103,143,96,14,22,0,12,0,12,15,23,0,12,91,65
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",237,146,51,77,52,86,0,12,0,12,16,27,0,12,118,102
