NAME,abnb2009,abnb2010,abnb2011,abnb2012,abnb2013,abnb2014,abnb2015,abnb2016
Austin,7,17,103,346,793,1702,3827,3827
Boston,6,31,82,139,301,709,1646,2829
Chicago,5,31,97,255,580,1520,4142,4142
Denver,3,7,25,58,172,477,1419,2008
Los Angeles,9,61,267,894,2173,4833,11592,20078
Nashville,1,7,14,42,122,442,1402,2787
New Orleans,0,6,39,133,437,910,2027,3796
New York,3,82,429,1126,2307,4676,10374,19938
Oakland,2,11,34,99,233,500,1076,1311
Portland,1,7,51,178,437,963,2107,2968
San Diego,1,5,51,181,481,1207,2883,4590
San Francisco,10,62,222,546,1220,2293,4461,6396
Seattle,4,36,97,246,530,1248,3170,3191
Washington,12,39,109,214,542,1357,2893,2893
